Ballhandler,Team,MP,Self-Creation,Create for Others,Basket Cuts,Movement Shooting,OREB,Ball Control,Drawing Doubles,Advantage PTS Created,MPSelf-Creation,MPCreate for Others,MPBasket Cuts,MPMovement Shooting,MPOREB,MPBall Control,MPDrawing Doubles,MPAdvantage PTS Created
Giannis Antetokounmpo,MIL,2289,8.2,2.1,1.6,0,1.6,0.3,3.9,17.8,18769.8,4806.9,3662.4,0,3662.4,686.7,8927.1,40744.2
Stephen Curry,GSW,2252,7,2.1,0.9,6.7,0.4,-0.1,0,17,15764,4729.2,2026.8,15088.4,900.8,-225.2,0,38284
Nikola Jokic,DEN,2571,5.5,2.6,1.8,0.3,1.8,-0.1,2.8,14.8,14140.5,6684.6,4627.8,771.3,4627.8,-257.1,7198.8,38050.8
Shai Gilgeous-Alexander,OKC,2598,8,1.8,0.4,0,0.6,0.9,1.3,13,20784,4676.4,1039.2,0,1558.8,2338.2,3377.4,33774
Kyrie Irving,DAL,1804,6.9,1.3,0.6,2.4,0.8,0.6,0.4,13,12447.6,2345.2,1082.4,4329.6,1443.2,1082.4,721.6,23452
Donovan Mitchell,CLE,2232,7.3,1.9,0.2,1.9,0.6,0.7,0.1,12.8,16293.6,4240.8,446.4,4240.8,1339.2,1562.4,223.2,28569.6
Luka Doncic,LAL,1179,7.4,2.6,0.3,0.9,0.5,-0.2,0.9,12.5,8727.066667,3066.266667,353.8,1061.4,589.6666667,-235.8666667,1061.4,14741.66667
Zion Williamson,NOP,857,6.6,1.8,1,0,2.1,-0.1,1.1,12.5,5656.2,1542.6,857,0,1799.7,-85.7,942.7,10712.5
Devin Booker,PHX,2795,5.5,2.6,0.7,2.4,0.7,0.1,0.4,12.4,15372.5,7267,1956.5,6708,1956.5,279.5,1118,34658
Kawhi Leonard,LAC,1180,5.4,1,1,1.1,0.8,0.6,2.3,12.2,6372,1180,1180,1298,944,708,2714,14396
Desmond Bane,MEM,2205,5.8,1.2,0.7,3.5,0.7,-0.2,0,11.7,12789,2646,1543.5,7717.5,1543.5,-441,0,25798.5
Tyrese Haliburton,IND,2451,6.8,2.4,0.2,1.3,0.4,0.6,0,11.6,16666.8,5882.4,490.2,3186.3,980.4,1470.6,0,28431.6
Kevin Durant,PHX,2265,5.1,1.5,0.6,2.5,0.3,-0.1,1.8,11.6,11551.5,3397.5,1359,5662.5,679.5,-226.5,4077,26274
Jalen Brunson,NYK,2301,7,2,0.4,0.9,0.3,0.4,0.2,11.3,16107,4602,920.4,2070.9,690.3,920.4,460.2,26001.3
Darius Garland,CLE,2301,6.2,2.3,0.3,1.8,0.5,-0.1,0,11,14266.2,5292.3,690.3,4141.8,1150.5,-230.1,0,25311
CJ McCollum,NOP,1832,5.5,1.2,0,3.1,0.5,0.8,0,11,10076,2198.4,0,5679.2,916,1465.6,0,20152
Jaylen Brown,BOS,2158,6.2,1.7,0.5,0.5,0.9,0.2,0.6,10.7,13379.6,3668.6,1079,1079,1942.2,431.6,1294.8,23090.6
Buddy Hield,GSW,1863,2,0.7,0.7,6,0.8,0.5,0,10.7,3726,1304.1,1304.1,11178,1490.4,931.5,0,19934.1
Karl-Anthony Towns,NYK,2517,4,0.9,1,0.8,2,0,1.6,10.3,10068,2265.3,2517,2013.6,5034,0,4027.2,25925.1
LeBron James,LAL,2444,4.7,2.5,1.3,0.5,0.8,-0.7,1.3,10.3,11486.8,6110,3177.2,1222,1955.2,-1710.8,3177.2,25173.2
Damian Lillard,MIL,2093,6.5,2.1,0,1.4,0.3,0,0,10.3,13604.5,4395.3,0,2930.2,627.9,0,0,21557.9
Sam Hauser,BOS,1541,0.8,0.4,0.4,6,0.7,1.8,0,10.2,1232.8,616.4,616.4,9246,1078.7,2773.8,0,15718.2
Tyrese Maxey,PHI,1960,6.9,1,0.5,0.9,0.2,0.7,0,10.2,13524,1960,980,1764,392,1372,0,19992
Jayson Tatum,BOS,2624,4.8,2.1,0.5,1,0.5,0.3,0.7,9.9,12595.2,5510.4,1312,2624,1312,787.2,1836.8,25977.6
Zach LaVine,SAC,1735,5.9,1,1,1.9,0.2,-0.3,0.1,9.9,10234.53333,1734.666667,1734.666667,3295.866667,346.9333333,-520.4,173.4666667,17173.2
Payton Pritchard,BOS,2271,3.8,1.3,0.2,2.3,1.1,0.9,0,9.7,8629.8,2952.3,454.2,5223.3,2498.1,2043.9,0,22028.7
Pascal Siakam,IND,2548,3.4,0.9,1.1,0,1.2,1.1,1.9,9.6,8663.2,2293.2,2802.8,0,3057.6,2802.8,4841.2,24460.8
Norman Powell,LAC,1958,5.1,0.7,0.4,2.4,0.3,0.7,0,9.6,9985.8,1370.6,783.2,4699.2,587.4,1370.6,0,18796.8
Jamal Murray,DEN,2418,4.1,1.4,0.4,2.3,0.4,0.5,0.4,9.5,9913.8,3385.2,967.2,5561.4,967.2,1209,967.2,22971
De'Aaron Fox,SAS,1494,5.7,1.8,0.7,0.5,0.6,0.1,0,9.4,8515.8,2689.2,1045.8,747,896.4,149.4,0,14043.6
T.J. McConnell,IND,1415,6.5,2,0.5,0,0.8,-0.4,0,9.3,9197.5,2830,707.5,0,1132,-566,0,13159.5
Trae Young,ATL,2739,6,3.3,0.2,0.6,0.3,-1.3,0.1,9.3,16434,9038.7,547.8,1643.4,821.7,-3560.7,273.9,25472.7
Anthony Edwards,MIN,2871,5.4,1.3,0.6,0.7,0.6,0.1,0.7,9.2,15503.4,3732.3,1722.6,2009.7,1722.6,287.1,2009.7,26413.2
LaMelo Ball,CHA,1505,5.1,2.5,0,1.1,0.8,-0.2,0,9.2,7675.5,3762.5,0,1655.5,1204,-301,0,13846
Ivica Zubac,LAC,2624,1.6,0.7,1.3,0,2.9,0.3,2.3,9.2,4198.4,1836.8,3411.2,0,7609.6,787.2,6035.2,24140.8
Klay Thompson,DAL,1965,1,0.9,0.4,5.4,0.6,0.8,0,9.2,1965,1768.5,786,10611,1179,1572,0,18078
Paolo Banchero,ORL,1582,3.4,1.2,0.8,0,0.9,0.3,2.6,9.1,5378.8,1898.4,1265.6,0,1423.8,474.6,4113.2,14396.2
Luke Kennard,MEM,1472,1.8,1,0,5.9,0.6,-0.3,0,9,2649.6,1472,0,8684.8,883.2,-441.6,0,13248
Ja Morant,MEM,1519,5.6,2.6,0.6,0,0.5,-0.7,0.3,9,8506.4,3949.4,911.4,0,759.5,-1063.3,455.7,13671
James Harden,LAC,2789,6.2,2.4,0,0.7,0.5,-1.3,0.4,8.9,17291.8,6693.6,0,1952.3,1394.5,-3625.7,1115.6,24822.1
Tyler Herro,MIA,2725,4.6,1.5,0.4,1.9,0.3,0.2,0,8.9,12535,4087.5,1090,5177.5,817.5,545,0,24252.5
Sam Merrill,CLE,1401,0,0.7,0.6,5.8,0.7,1.1,0,8.9,0,980.7,840.6,8125.8,980.7,1541.1,0,12468.9
Joel Embiid,PHI,574,2.8,1.3,0,0,1.6,-0.3,3.4,8.8,1607.2,746.2,0,0,918.4,-172.2,1951.6,5051.2
Anthony Davis,DAL,1137,1.7,1,1.5,0,1.9,0.6,2.1,8.8,1933.466667,1137.333333,1706,0,2160.933333,682.4,2388.4,10008.53333
Isaiah Joe,OKC,1604,1.1,0.6,0.6,4.2,0.7,1.5,0,8.7,1764.4,962.4,962.4,6736.8,1122.8,2406,0,13954.8
Domantas Sabonis,SAC,2429,2.1,1.6,1.9,0,2.8,-1,1.2,8.6,5100.9,3886.4,4615.1,0,6801.2,-2429,2914.8,20889.4
Julius Randle,MIN,2226,3.6,1.7,0.8,0,1.5,-0.7,1.6,8.5,8013.6,3784.2,1780.8,0,3339,-1558.2,3561.6,18921
Cam Thomas,BKN,781,4.6,1.2,0,1.9,0.5,0.4,0,8.5,3592.6,937.2,0,1483.9,390.5,312.4,0,6638.5
Franz Wagner,ORL,2023,3.8,1.4,1.1,0,0.7,0.6,0.8,8.4,7687.4,2832.2,2225.3,0,1416.1,1213.8,1618.4,16993.2
Austin Reaves,LAL,2550,4.3,1.8,0.5,1.3,0.6,-0.1,0,8.4,10965,4590,1275,3315,1530,-255,0,21420
Trayce Jackson-Davis,GSW,967,1.2,1.1,2.5,0,3.1,0.2,0.3,8.4,1160.4,1063.7,2417.5,0,2997.7,193.4,290.1,8122.8
Jalen Williams,OKC,2237,4.3,1.5,0.9,0.6,0.6,0.5,0,8.4,9619.1,3355.5,2013.3,1342.2,1342.2,1118.5,0,18790.8
Collin Sexton,UTA,1758,4.7,1.4,0.7,1.2,0.8,-0.4,0,8.4,8262.6,2461.2,1230.6,2109.6,1406.4,-703.2,0,14767.2
Michael Porter Jr.,DEN,2593,1.4,0.6,1.3,3,1.2,0.9,0,8.3,3630.2,1555.8,3370.9,7779,3111.6,2333.7,0,21521.9
Terry Rozier,MIA,1658,4,0.8,0.3,2.1,0.7,0.5,0,8.3,6632,1326.4,497.4,3481.8,1160.6,829,0,13761.4
Lauri Markkanen,UTA,1476,1.2,0.5,0.9,3.3,1.2,1,0.3,8.3,1771.2,738,1328.4,4870.8,1771.2,1476,442.8,12250.8
DeMar DeRozan,SAC,2768,2.8,1.2,0.4,0.4,0.4,1.3,1.5,8.2,7750.4,3321.6,1107.2,1107.2,1107.2,3598.4,4152,22697.6
Paul George,PHI,1334,4.3,1.1,0,2.2,0.4,-0.6,0.5,8,5736.2,1467.4,0,2934.8,533.6,-800.4,667,10672
Bradley Beal,PHX,1702,3.4,1.5,0.8,1.7,0.5,0.2,0,8,5786.8,2553,1361.6,2893.4,851,340.4,0,13616
Malcolm Brogdon,WAS,564,4.8,1.3,0.7,0,0.9,0.1,0,7.9,2707.2,733.2,394.8,0,507.6,56.4,0,4455.6
Miles Bridges,CHA,2029,4.1,1.3,0.4,0.8,0.8,0.5,0,7.8,8318.9,2637.7,811.6,1623.2,1623.2,1014.5,0,15826.2
Cade Cunningham,DET,2452,4,2.6,0.3,0.3,0.5,-0.8,0.9,7.8,9808,6375.2,735.6,735.6,1226,-1961.6,2206.8,19125.6
Anfernee Simons,POR,2292,3.7,1,0,2.4,0.3,0.4,0,7.7,8480.4,2292,0,5500.8,687.6,916.8,0,17648.4
Seth Curry,CHA,1062,2,0.5,0,3.6,0.6,0.9,0,7.6,2124,531,0,3823.2,637.2,955.8,0,8071.2
Trendon Watford,BKN,913,4.7,1,0.6,0,1.1,-1.1,1.3,7.6,4291.1,913,547.8,0,1004.3,-1004.3,1186.9,6938.8
Harrison Barnes,SAS,2230,2.5,0.6,0.5,1.1,1.1,1.4,0.3,7.5,5575,1338,1115,2453,2453,3122,669,16725
Bobby Portis,MIL,1244,1.2,0.8,0.8,1,1.7,0.9,1.1,7.5,1492.8,995.2,995.2,1244,2114.8,1119.6,1368.4,9330
Jaren Jackson Jr.,MEM,2207,3.2,0.7,0.2,0,1,0.6,1.8,7.5,7062.4,1544.9,441.4,0,2207,1324.2,3972.6,16552.5
Moritz Wagner,ORL,564,3.3,0.5,2.3,0,1.8,-0.4,0,7.5,1861.2,282,1297.2,0,1015.2,-225.6,0,4230
Daniel Gafford,DAL,1226,1.9,0.5,1.5,0,3.1,0.1,0.3,7.4,2329.4,613,1839,0,3800.6,122.6,367.8,9072.4
Jrue Holiday,BOS,1896,2.9,1.6,0.6,1.1,1,0.2,0,7.4,5498.4,3033.6,1137.6,2085.6,1896,379.2,0,14030.4
Brandon Miller,CHA,924,2.2,0.8,0,3.8,0.7,-0.1,0,7.4,2032.8,739.2,0,3511.2,646.8,-92.4,0,6837.6
Kevon Looney,GSW,1142,0.6,1.3,1.3,0,3.9,0.3,0,7.4,685.2,1484.6,1484.6,0,4453.8,342.6,0,8450.8
Malik Monk,SAC,2054,4,1.9,0.5,0.8,0.3,-0.3,0.2,7.4,8216,3902.6,1027,1643.2,616.2,-616.2,410.8,15199.6
Lindy Waters III,DET,519,0,0.6,0,4.9,0.6,1.2,0,7.3,0,311.2,0,2541.466667,311.2,622.4,0,3786.266667
Nikola Vucevic,CHI,2278,1.5,0.9,1.3,0,1.8,0.6,1.2,7.3,3417,2050.2,2961.4,0,4100.4,1366.8,2733.6,16629.4
Aaron Wiggins,OKC,1744,2.6,0.6,0.9,1.1,1.1,0.9,0,7.2,4534.4,1046.4,1569.6,1918.4,1918.4,1569.6,0,12556.8
Jeff Dowtin Jr.,PHI,621,4.3,1,0,0,0.5,1.5,0,7.2,2670.3,621,0,0,310.5,931.5,0,4471.2
Corey Kispert,WAS,1602,2.5,0.3,1,2.3,0.6,0.6,0,7.2,4005,480.6,1602,3684.6,961.2,961.2,0,11534.4
Mike Conley,MIN,1756,3.3,1.2,0,2.4,0.5,-0.1,0,7.2,5794.8,2107.2,0,4214.4,878,-175.6,0,12643.2
Mikal Bridges,NYK,3036,1.6,0.8,1.3,2.1,0.6,0.6,0.2,7.2,4857.6,2428.8,3946.8,6375.6,1821.6,1821.6,607.2,21859.2
Coby White,CHI,2450,4.6,1.1,0.4,0.9,0.2,0,0,7.2,11270,2695,980,2205,490,0,0,17640
RJ Barrett,TOR,1869,3.8,1.5,1.1,0,0.8,-0.1,0.2,7.2,7102.2,2803.5,2055.9,0,1495.2,-186.9,373.8,13456.8
Brandon Clarke,MEM,1207,0.9,0.5,2.6,0,2.4,0.8,0,7.1,1086.3,603.5,3138.2,0,2896.8,965.6,0,8569.7
Sandro Mamukelashvili,SAS,681,1.7,0.8,1.4,0,2.1,1,0,7.1,1157.7,544.8,953.4,0,1430.1,681,0,4835.1
Cameron Johnson,BKN,1800,1.9,1,0.9,2.1,0.8,0.4,0,7.1,3420,1800,1620,3780,1440,720,0,12780
Bam Adebayo,MIA,2674,1.9,1.1,0.8,0,1.8,0.2,1.2,7,5080.6,2941.4,2139.2,0,4813.2,534.8,3208.8,18718
Devin Vassell,SAS,1983,2.5,0.8,0.4,2,0.4,0.9,0,6.9,4957.5,1586.4,793.2,3966,793.2,1784.7,0,13682.7
Grayson Allen,PHX,1544,1.5,1.3,0.3,3.1,0.6,0,0,6.9,2316,2007.2,463.2,4786.4,926.4,0,0,10653.6
D'Angelo Russell,BKN,987,3,1.8,0.4,1.5,0.3,-0.2,0,6.9,2960,1776,394.6666667,1480,296,-197.3333333,0,6808
Immanuel Quickley,TOR,918,3.1,1.7,0,1.2,0.4,0.4,0,6.9,2845.8,1560.6,0,1101.6,367.2,367.2,0,6334.2
Malik Beasley,DET,2283,0.8,0.5,0.3,3.5,0.5,1.3,0,6.9,1826.4,1141.5,684.9,7990.5,1141.5,2967.9,0,15752.7
Tre Jones,CHI,603,3.4,1.5,1,0,0.8,0.1,0,6.8,2051.333333,905,603.3333333,0,482.6666667,60.33333333,0,4102.666667
Keldon Johnson,SAS,1838,2.7,0.7,0.9,0,1.5,0.9,0.2,6.8,4962.6,1286.6,1654.2,0,2757,1654.2,367.6,12498.4
Jonathan Kuminga,GSW,1144,1.9,1,2.1,0,1.1,0.6,0,6.8,2173.6,1144,2402.4,0,1258.4,686.4,0,7779.2
Trey Murphy III,NOP,1854,2.8,0.8,0.7,1.3,0.6,0.6,0,6.8,5191.2,1483.2,1297.8,2410.2,1112.4,1112.4,0,12607.2
Brandon Ingram,NOP,595,3.7,1.7,0,0,0.7,-0.9,1.4,6.7,2201.5,1011.5,0,0,416.5,-535.5,833,3986.5
Jordan Hawkins,NOP,1321,1.2,0.4,0,3.8,0.4,0.8,0,6.7,1585.2,528.4,0,5019.8,528.4,1056.8,0,8850.7
Aaron Nesmith,IND,1123,1.6,0.4,0.8,2,0.8,0.9,0,6.6,1796.8,449.2,898.4,2246,898.4,1010.7,0,7411.8
Duncan Robinson,MIA,1785,1.5,0.9,0.8,2.8,0.3,0.3,0,6.6,2677.5,1606.5,1428,4998,535.5,535.5,0,11781
Jalen Green,HOU,2697,4,0.7,0.5,0.6,0.4,0.2,0.1,6.6,10788,1887.9,1348.5,1618.2,1078.8,539.4,269.7,17800.2
Bennedict Mathurin,IND,2149,2.4,0.5,1.3,1.1,1.1,0.1,0,6.4,5157.6,1074.5,2793.7,2363.9,2363.9,214.9,0,13753.6
Tyus Jones,PHX,2174,2,2,0.3,1.5,0.5,0.2,0,6.4,4348,4348,652.2,3261,1087,434.8,0,13913.6
Fred VanVleet,HOU,2111,3,1.2,0,1.3,0.4,0.6,0,6.4,6333,2533.2,0,2744.3,844.4,1266.6,0,13510.4
Derrick White,BOS,2574,2.1,1.4,0.4,1.5,0.7,0.2,0,6.4,5405.4,3603.6,1029.6,3861,1801.8,514.8,0,16473.6
Kevin Huerter,CHI,1119,1.4,1,0.9,2,0.4,0.6,0,6.4,1567.066667,1119.333333,1007.4,2238.666667,447.7333333,671.6,0,7163.733333
Moses Moody,GSW,1649,1.7,0.5,0.7,1.7,0.8,1,0,6.4,2803.3,824.5,1154.3,2803.3,1319.2,1649,0,10553.6
Jakob Poeltl,TOR,1686,0.8,0.7,2.4,0,2.7,-0.6,0.3,6.4,1348.8,1180.2,4046.4,0,4552.2,-1011.6,505.8,10790.4
Scottie Barnes,TOR,2134,2.3,1.5,0.6,0,1.2,-0.3,1,6.4,4908.2,3201,1280.4,0,2560.8,-640.2,2134,13657.6
OG Anunoby,NYK,2706,1.9,0.5,1,0.8,0.9,0.9,0.3,6.3,5141.4,1353,2706,2164.8,2435.4,2435.4,811.8,17047.8
Evan Mobley,CLE,2167,1.6,1.1,1.3,0,1.8,0,0.5,6.3,3467.2,2383.7,2817.1,0,3900.6,0,1083.5,13652.1
Max Strus,CLE,1273,0.9,1.2,0.7,2.3,1.1,0,0,6.3,1145.7,1527.6,891.1,2927.9,1400.3,0,0,8019.9
Johnny Juzang,UTA,1270,0.9,0.3,0.4,2.5,0.8,1.3,0,6.3,1143,381,508,3175,1016,1651,0,8001
Ausar Thompson,DET,1328,2,1.1,1.5,0,1.9,-0.2,0,6.2,2656,1460.8,1992,0,2523.2,-265.6,0,8233.6
